Account__c|Product__c|Daily_Sales__c|MTD_Sales__c|QTD_Sales__c|FYTD_Sales__c
100290|00517-6710-10|0|0|545.94|545.94
100290|00517-9702-25|0|0|78.09|78.09
100291|00517-0720-01|0|0|2369.02|2369.02
100291|00517-0740-20|0|0|453.6|453.6
100291|00517-0955-01|0|0|2785|2785
100291|00517-1001-25|0|0|384.66|384.66
100291|00517-1980-05|0|0|33.25|33.25
100291|00517-2502-10|0|0|369.5|369.5
100291|00517-7305-25|0|0|4897.75|4897.75
100291|00517-7604-25|1130.25|1130.25|14693.25|14693.25
100291|00517-9702-25|178.08|178.08|1068.48|1068.48
100293|00517-0799-01|0|0|779.1|779.1
100293|00517-1004-25|0|0|117.37|117.37
100293|00517-2051-25|0|0|276|276
100293|00517-2340-10|0|0|9000|9000
100293|00517-2340-99|3600|3600|18360|18360
100293|00517-5601-25|0|0|570.75|570.75
100293|00517-6710-10|0|0|80.1|80.1
100295|00517-0720-01|0|0|38.21|38.21
100295|00517-2310-05|0|0|1800|1800
100295|00517-4300-01|0|0|2790.72|2790.72
100295|00517-9120-25|0|0|200|200
100312|00517-0374-05|0|0|2200|2200
100312|00517-0710-01|0|0|1031.32|1031.32
100312|00517-0720-01|0|0|76.42|76.42
100312|00517-0740-20|0|0|1814.4|1814.4
100312|00517-2102-25|0|0|262.5|262.5
100312|00517-2310-05|0|0|5400|5400
100312|00517-2340-25|0|0|2200|2200
100312|00517-7504-25|0|0|1140|1140
100312|00517-9305-25|0|0|660.5|660.5
100312|00517-9702-25|0|0|716.56|716.56
100322|00517-0420-01|0|0|96.82|96.82
100322|00517-0720-01|229.26|229.26|573.15|573.15
100322|00517-2340-25|880|880|13200|13200
100322|00517-4300-01|0|0|2790.72|2790.72
100322|00517-7604-25|0|0|275|275
100322|00517-9120-25|0|0|600|600
100357|00517-0374-05|0|0|1494.75|1494.75
100357|00517-0720-01|0|0|360.04|360.04
100357|00517-0740-20|0|0|1024.8|1024.8
100357|00517-2340-10|0|0|720|720
100357|00517-2340-25|0|0|5513.44|5513.44
100357|00517-7604-25|0|0|376.75|376.75
100357|00517-9305-25|0|0|1410.5|1410.5
100364|00517-0720-01|0|0|229.26|229.26
100364|00517-0740-20|0|0|453.6|453.6
100364|00517-0791-01|0|0|4050.26|4050.26
100364|00517-2340-10|0|0|360|360
100364|00517-2340-25|880|880|9240|9240
100364|00517-4300-01|0|0|11162.88|11162.88
100364|00517-6710-10|0|0|54.7|54.7
100364|00517-9305-25|0|0|660.5|660.5
100377|00517-1004-25|0|0|504.5|504.5
100381|00517-0650-01|0|0|9200|9200
100381|00517-0720-01|0|0|16602|16602
100381|00517-0735-10|0|0|6426|6426
100381|00517-2340-10|0|0|1896.59|1896.59
100381|00517-7315-25|0|0|337.5|337.5
100381|00517-9305-25|660.5|660.5|1321|1321
100389|00517-0374-05|0|0|5720|5720
100389|00517-0720-01|0|0|350|350
100389|00517-0740-20|0|0|907.2|907.2
100389|00517-2340-10|0|0|1410|1410
100389|00517-4810-25|340.5|340.5|340.5|340.5
100389|00517-6710-10|0|0|160.16|160.16
100389|00517-7604-25|0|0|1507|1507
100401|00517-0374-05|0|0|880|880
100401|00517-0381-05|0|0|5418.8|5418.8
100401|00517-0650-01|0|0|10015.74|10015.74
100401|00517-0720-01|0|0|38.21|38.21
100401|00517-0791-01|0|0|534.94|534.94
100401|00517-1004-25|0|0|228|228
100401|00517-2310-05|12960|12960|70560|70560
100401|00517-2340-10|0|0|1620|1620
100401|00517-2340-25|0|0|3115|3115
100401|00517-4002-25|0|0|2077.5|2077.5
100401|00517-4300-01|0|0|13953.6|13953.6
100401|00517-4810-25|0|0|330.75|330.75
100401|00517-5601-25|0|0|1141.5|1141.5
100401|00517-6710-10|0|0|437.6|437.6
100401|00517-7315-25|0|0|337.5|337.5
100401|00517-7504-25|712.5|712.5|2137.5|2137.5
100401|00517-7604-25|0|0|550|550
100401|00517-9302-25|0|0|1103|1103
100401|00517-9305-25|0|0|8586.5|8586.5
100401|00517-9702-25|0|0|1253.98|1253.98
100403|00517-0031-25|0|0|848|848
100403|00517-0374-05|0|0|41360|41360
100403|00517-0420-01|0|0|677.74|677.74
100403|00517-0710-01|0|0|1031.32|1031.32
100403|00517-0720-01|611.36|611.36|21512.23|21512.23
100403|00517-0735-10|0|0|11016|11016
100403|00517-1001-25|0|0|1309.14|1309.14
100403|00517-1004-25|0|0|342|342
100403|00517-1820-01|8000|8000|37880|37880
100403|00517-2102-25|0|0|11660|11660
100403|00517-2340-10|0|0|15120|15120
100403|00517-2502-10|0|0|4064.5|4064.5
100403|00517-4601-25|0|0|495|495
100403|00517-4602-25|300|300|5200|5200
100403|00517-4810-25|0|0|330.75|330.75
100403|00517-6101-25|0|0|8769.83|8769.83
100403|00517-6560-05|0|0|97188|97188
100403|00517-6710-10|0|0|9846|9846
100403|00517-7315-25|0|0|54634.5|54634.5
100403|00517-7504-25|0|0|1710|1710
100403|00517-7604-25|4812.5|4812.5|40287.5|40287.5
100403|00517-9305-25|0|0|145310|145310
100410|00517-2340-10|0|0|3240|3240
100410|00517-4300-01|0|0|9069.84|9069.84
100411|00517-0031-25|0|0|0|0
100411|00517-0374-05|0|0|1934.75|1934.75
100411|00517-0720-01|0|0|8564.66|8564.66
100411|00517-0740-20|0|0|1360.8|1360.8
100411|00517-2340-25|880|880|880|880
100411|00517-6560-05|0|0|27499.5|27499.5
100411|00517-7305-25|0|0|475.5|475.5
100411|00517-9302-25|0|0|4418|4418
100411|00517-9305-25|0|0|7360|7360
100443|00517-0374-05|0|0|880|880
100443|00517-0650-01|0|0|61207.3|61207.3
100443|00517-0720-01|0|0|1566.61|1566.61
100443|00517-0740-20|0|0|907.2|907.2
100443|00517-0791-01|0|0|764.2|764.2
100443|00517-1004-25|0|0|342|342
100443|00517-1980-05|0|0|232.75|232.75
100443|00517-2310-05|0|0|19620|19620
100443|00517-2340-10|0|0|1980|1980
100443|00517-2502-10|0|0|739|739
100443|00517-9120-25|0|0|800|800
100443|00517-9305-25|0|0|1981.5|1981.5
100462|00517-0374-05|0|0|1760|1760
100462|00517-0720-01|191.05|191.05|382.1|382.1
100462|00517-2340-10|0|0|540|540
100462|00517-7604-25|137.5|137.5|275|275
100467|00517-0031-25|0|0|79.5|79.5
100467|00517-0740-20|0|0|9458|9458
100467|00517-2051-25|0|0|3036|3036
100467|00517-2102-25|0|0|4987.5|4987.5
100467|00517-9702-25|0|0|4544.1|4544.1
100481|00517-0720-01|0|0|148.4|148.4
100481|00517-2340-10|180|180|3420|3420
100484|00517-0720-01|235.8|235.8|754.56|754.56
100484|00517-1001-25|0|0|4575|4575
100484|00517-2102-25|0|0|2887.5|2887.5
100484|00517-4201-25|0|0|1250.75|1250.75
100484|00517-4810-25|0|0|372.28|372.28
100484|00517-6710-10|0|0|109.4|109.4
100484|00517-7315-25|0|0|1350|1350
100500|00517-0720-01|111.3|111.3|890.4|890.4
100500|00517-0740-20|0|0|1814.4|1814.4
100500|00517-1820-01|1927.8|1927.8|4141.2|4141.2
100500|00517-4601-25|0|0|146.25|146.25
100500|00517-9305-25|0|0|1349|1349
100500|00517-9702-25|0|0|198|198
100508|00517-0650-01|3338.58|3338.58|18918.62|18918.62
100508|00517-0720-01|0|0|754.56|754.56
100508|00517-2340-10|0|0|2340|2340
100508|00517-2502-10|0|0|1677.6|1677.6
100508|00517-4810-25|0|0|372.28|372.28
100508|00517-5601-25|0|0|841.75|841.75
100508|00517-6560-05|0|0|17007.9|17007.9
100508|00517-6710-10|0|0|19370.9|19370.9
100508|00517-7504-25|0|0|425.75|425.75
100508|00517-7604-25|0|0|376.5|376.5
100508|00517-9302-25|0|0|43568.5|43568.5
100508|00517-9305-25|0|0|12549.5|12549.5
100516|00517-1980-05|0|0|33.25|33.25
100519|00517-0650-01|0|0|1150|1150
100521|00517-0420-01|0|0|96.82|96.82
100521|00517-0720-01|0|0|229.26|229.26
100521|00517-0740-20|0|0|453.6|453.6
100521|00517-1004-25|0|0|114|114
100521|00517-2340-25|0|0|5720|5720
100521|00517-7604-25|0|0|137.5|137.5
100529|00517-0031-25|0|0|84.75|84.75
100529|00517-0740-20|0|0|2738.4|2738.4
100529|00517-2310-05|0|0|1980|1980
100529|00517-2340-10|0|0|180|180
100529|00517-5601-25|842|842|842|842
100529|00517-5602-25|0|0|1160.25|1160.25
100529|00517-7305-25|0|0|2691|2691
100531|00517-0650-01|0|0|24482.92|24482.92
100531|00517-0720-01|0|0|267.47|267.47
100531|00517-0791-01|0|0|114.63|114.63
100531|00517-2340-10|360|360|360|360
100531|00517-3030-01|0|0|1200|1200
100531|00517-7315-25|0|0|1000|1000
100531|00517-9702-25|0|0|716.56|716.56
100532|00517-0440-01|0|0|280.77|280.77
100532|00517-1020-25|0|0|1005.04|1005.04
100532|00517-2310-05|0|0|5727|5727
100532|00517-2340-10|0|0|763.6|763.6
100532|00517-6710-10|0|0|363.96|363.96
100538|00517-1004-25|0|0|2622|2622
100538|00517-2310-05|0|0|720|720
100538|00517-2340-10|360|360|4860|4860
100541|00517-0381-05|0|0|1711.2|1711.2
100541|00517-0650-01|0|0|12591.56|12591.56
100541|00517-0740-20|0|0|907.2|907.2
100541|00517-0799-01|0|0|371|371
100541|00517-2310-05|0|0|6480|6480
100541|00517-3030-01|0|0|1125|1125
100541|00517-4602-25|55.02|55.02|55.02|55.02
100541|00517-4810-25|0|0|340.5|340.5
100541|00517-5601-25|0|0|570.75|570.75
100541|00517-7305-25|0|0|305|305
100541|00517-7315-25|0|0|332.25|332.25
100542|00517-0720-01|0|0|85.85|85.85
100542|00517-6710-10|0|0|1212.6|1212.6
100542|00517-7315-25|0|0|5001.25|5001.25
100542|00517-7604-25|4521|4521|6721|6721
100542|00517-9702-25|0|0|0|0
100543|00517-0650-01|0|0|6325|6325
100543|00517-0720-01|0|0|718.5|718.5
100543|00517-0740-20|0|0|76.67|76.67
100543|00517-1004-25|0|0|105.32|105.32
100543|00517-2310-05|0|0|20250|20250
100543|00517-2340-10|0|0|900|900
100543|00517-4300-01|0|0|26317.45|26317.45
100543|00517-5602-25|0|0|1160.25|1160.25
100543|00517-7315-25|0|0|1337.75|1337.75
100543|00517-7604-25|0|0|137.5|137.5
100543|00517-9702-25|0|0|937.08|937.08
100554|00517-0374-05|0|0|1760|1760
100554|00517-0799-01|0|0|222.6|222.6
100554|00517-1004-25|0|0|234.74|234.74
100554|00517-2310-05|0|0|10080|10080
100554|00517-2340-10|0|0|1260|1260
100554|00517-2340-99|0|0|1980|1980
100554|00517-9305-25|0|0|4721.5|4721.5
100562|00517-0720-01|185.5|185.5|1780.8|1780.8
100562|00517-0740-20|0|0|4989.6|4989.6
100562|00517-2505-25|0|0|7125|7125
100562|00517-4601-25|0|0|97.5|97.5
100562|00517-6560-05|0|0|127021.5|127021.5
100562|00517-6710-10|0|0|160.2|160.2
100562|00517-7315-25|0|0|3906|3906
100562|00517-9120-25|0|0|256.25|256.25
100562|00517-9305-25|0|0|95104.5|95104.5
100569|00517-0720-01|0|0|114.63|114.63
100569|00517-0955-01|0|0|604.18|604.18
100569|00517-1004-25|0|0|111.72|111.72
100569|00517-2310-05|0|0|3060|3060
100569|00517-2340-25|0|0|880|880
100569|00517-4201-25|0|0|458.75|458.75
100569|00517-7315-25|0|0|2025|2025
100569|00517-7604-25|0|0|275|275
100569|00517-9302-25|0|0|10478.5|10478.5
100569|00517-9305-25|0|0|8586.5|8586.5
100569|00517-9702-25|0|0|168.3|168.3
100570|00517-0650-01|0|0|2289.12|2289.12
100570|00517-2310-05|1080|1080|9900|9900
100570|00517-2340-99|1080|1080|3240|3240
100570|00517-4300-01|0|0|27907.2|27907.2
100570|00517-4810-25|0|0|340.5|340.5
100600|00517-0710-01|515.66|515.66|515.66|515.66
100600|00517-1020-25|0|0|1750|1750
100600|00517-2340-10|0|0|720|720
100600|00517-4602-25|53.78|53.78|591.58|591.58
100600|00517-4810-25|0|0|330.75|330.75
100600|00517-6710-10|0|0|1422.2|1422.2
100600|00517-9305-25|0|0|2642|2642
100601|00517-0031-25|0|0|107.25|107.25
100601|00517-0374-05|0|0|5397.2|5397.2
100601|00517-0650-01|0|0|29748.16|29748.16
100601|00517-0720-01|0|0|1986.92|1986.92
100601|00517-0740-20|0|0|1360.8|1360.8
100601|00517-1004-25|0|0|1067.04|1067.04
100601|00517-1020-25|0|0|4250|4250
100601|00517-4810-25|0|0|2605.96|2605.96
100601|00517-7305-25|0|0|4007.25|4007.25
100601|00517-9305-25|0|0|3371.25|3371.25
100601|00517-9702-25|0|0|1424.64|1424.64
100605|00517-0031-25|0|0|9.63|9.63
100605|00517-0650-01|0|0|13225|13225
100605|00517-0720-01|438.64|438.64|5106.28|5106.28
100605|00517-0740-20|0|0|4536|4536
100605|00517-1004-25|0|0|315.96|315.96
100605|00517-2310-05|450|450|10050|10050
100605|00517-2340-10|0|0|1200|1200
100605|00517-4300-01|0|0|24582.7|24582.7
100605|00517-4810-25|0|0|330.75|330.75
100605|00517-6560-05|0|0|14578.2|14578.2
100605|00517-6710-10|0|0|410|410
100605|00517-7604-25|0|0|1937.48|1937.48
100605|00517-9120-25|0|0|600|600
100605|00517-9302-25|0|0|2206|2206
100605|00517-9305-25|0|0|60766|60766
